Model	AUC-ROC	Accuracy	Precision	Recall	F1	AvgPrecision
Autoencoder	0.9200	0.9888	0.0000	0.0000	0.0000	0.1230
Cnn	0.9987	0.9965	0.8257	0.8754	0.8498	0.9404
Dbscan	0.6502	0.5192	0.0163	0.7032	0.0318	0.0459
Decision Tree	0.9928	0.9983	0.8999	0.9579	0.9280	0.9518
Dnn	0.9980	0.9971	0.8668	0.8814	0.8740	0.9578
Gmm	0.9528	0.9561	0.1737	0.7730	0.2837	0.1630
Isolation Forest	0.8967	0.9020	0.0660	0.5876	0.1187	0.1660
Kmeans	0.6438	0.9414	0.0268	0.1192	0.0438	0.0267
Logistic Regression	0.9808	0.9954	0.9765	0.6008	0.7439	0.8105
Pca Anomaly	0.5426	0.9405	0.0179	0.0795	0.0292	0.0263
Random Forest	1.0000	0.9995	0.9754	0.9771	0.9762	0.9981
Svm	0.9919	0.9958	0.9888	0.6370	0.7748	0.9095
Xgboost	0.9999	0.9987	0.9296	0.9615	0.9453	0.9891
Ensemble	0.9999	0.9961	0.9991	0.6520	0.7891	0.9888
